price_mean_pfx,price_std_pfx,price_min_pfx,price_max_pfx,price2_mean_pfx,price2_std_pfx,country_mode_pfx,page_1_(main_category)_mode_pfx,page_2_(clothing_model)_mode_pfx,colour_mode_pfx,model_photography_mode_pfx,country_nunique_pfx,page_1_(main_category)_nunique_pfx,page_2_(clothing_model)_nunique_pfx,colour_nunique_pfx,model_photography_nunique_pfx,target
51.6,14.638989036132244,38,72,1.4,0.5477225575051661,29,1,A17,3,1,1,2,5,2,1,0
52.5,6.363961030678928,48,57,1.0,0.0,24,2,B1,4,1,1,2,2,2,1,1
50.4,12.541929676090518,33,62,1.4,0.5477225575051661,24,1,A11,1,1,1,2,5,3,2,1
33.0,0.0,33,33,2.0,0.0,29,4,P16,7,1,1,1,1,1,1,1
48.4,14.638989036132244,28,62,1.4,0.5477225575051662,29,2,A1,9,1,1,2,5,3,1,1
45.25,12.12091855705114,33,62,1.5,0.5773502691896257,29,1,A11,3,1,1,2,4,3,1,1
38.0,14.142135623730953,28,48,1.5,0.7071067811865476,41,1,A1,8,1,1,2,2,2,1,1
53.6,18.338484124921557,38,82,1.6,0.5477225575051662,9,1,A11,3,1,1,1,5,2,1,1
30.5,3.5355339059327378,28,33,2.0,0.0,9,1,A1,8,1,1,1,2,2,2,1
43.0,0.0,43,43,2.0,0.0,29,1,A5,3,1,1,1,1,1,1,1
49.4,10.406728592598157,38,57,1.4,0.5477225575051662,9,2,B19,13,1,1,1,5,4,1,0
49.4,8.561541917201597,38,57,1.4,0.5477225575051661,9,2,A12,2,1,1,2,5,3,2,0
43.666666666666664,14.364307617610164,33,60,1.6666666666666667,0.5773502691896258,12,1,A15,2,2,1,1,3,3,2,1
62.0,0.0,62,62,1.0,0.0,9,1,A11,3,1,1,1,1,1,1,1
46.6,14.638989036132244,33,67,1.4,0.5477225575051662,29,2,B1,2,1,1,2,5,5,2,1
38.0,0.0,38,38,1.3333333333333333,0.5773502691896257,29,4,A4,4,2,1,2,3,2,2,1
53.2,3.834057902536164,48,57,1.2,0.4472135954999579,9,2,B1,1,1,1,1,5,5,2,0
48.75,12.579745625409124,38,62,1.5,0.5773502691896257,29,2,B19,2,1,1,1,4,4,1,1
58.5,20.872629605937693,28,72,1.25,0.5,9,1,A3,3,1,1,1,3,2,1,1
40.8,14.463747785411636,28,62,1.8,0.4472135954999579,38,2,A13,1,1,1,2,4,3,2,1
38.0,8.660254037844387,28,43,2.0,0.0,9,1,A13,3,1,1,1,3,2,1,1
46.0,12.884098726725126,38,65,1.0,0.0,29,4,P10,2,1,1,1,4,2,2,1
35.0,4.47213595499958,28,38,1.4,0.5477225575051662,29,4,P15,4,2,1,2,4,2,2,1
45.2,11.94571052721436,33,60,1.4,0.5477225575051661,29,1,A14,14,1,1,2,5,4,2,1
33.0,8.660254037844387,28,43,1.6666666666666667,0.5773502691896257,41,4,P40,1,1,1,1,3,3,2,1
53.6,18.338484124921557,38,82,1.2,0.4472135954999579,29,1,A11,3,1,1,2,5,3,2,1
55.0,0.0,55,55,1.0,0.0,24,3,C44,11,1,1,1,2,2,1,1
45.6,9.91463564635635,33,57,1.4,0.5477225575051661,21,1,A15,14,1,1,3,5,4,2,1
46.6,14.638989036132244,33,67,1.6,0.5477225575051661,24,2,A15,2,1,1,2,5,4,2,1
43.0,0.0,43,43,2.0,0.0,31,1,A6,3,1,1,1,1,1,1,1
39.0,12.449899597988733,23,48,1.4,0.5477225575051661,9,3,C1,9,1,1,1,5,3,2,1
54.4,12.973048986263793,38,67,1.4,0.5477225575051661,24,2,B10,2,1,1,1,5,2,2,0
45.75,17.745891543302825,28,62,1.5,0.5773502691896257,24,1,A13,1,1,1,1,4,2,1,1
39.666666666666664,2.88675134594813,38,43,2.0,0.0,24,1,A28,1,2,1,2,3,3,2,1
48.8,18.726985876002576,38,82,1.8,0.4472135954999579,24,1,A10,3,1,1,1,5,2,1,0
47.5,6.363961030678928,43,52,1.5,0.7071067811865476,24,1,A6,3,1,1,2,2,2,1,1
40.0,9.082951062292477,28,48,1.4,0.5477225575051662,24,3,A16,4,1,1,2,5,4,2,0
50.666666666666664,10.96965511460289,38,57,1.3333333333333333,0.5773502691896257,41,2,B23,7,1,1,1,3,3,1,1
33.0,0.0,33,33,2.0,0.0,9,1,A16,1,1,1,1,1,1,1,1
48.0,0.0,48,48,1.0,0.0,29,3,C4,4,1,1,1,1,1,1,1
38.0,0.0,38,38,2.0,0.0,29,1,A26,2,1,1,1,1,1,1,1
40.8,12.617448236470002,28,62,1.8,0.4472135954999579,29,1,A30,6,1,1,2,5,4,1,1
52.0,0.0,52,52,1.0,0.0,29,2,B4,10,1,1,1,1,1,1,1
40.0,9.082951062292477,28,48,1.4,0.5477225575051662,29,4,C5,14,1,1,2,5,3,1,0
45.6,8.561541917201597,38,57,1.6,0.5477225575051662,29,2,B1,2,1,1,1,5,5,2,1
33.0,0.0,33,33,2.0,0.0,9,3,C25,2,1,1,1,1,1,1,1
46.8,15.959323293924465,28,72,1.6,0.5477225575051662,29,1,A1,3,1,1,2,5,3,1,0
39.666666666666664,5.773502691896258,33,43,1.6666666666666667,0.5773502691896257,29,1,A6,2,1,1,3,3,3,1,1
40.8,6.26099033699941,38,52,1.6,0.5477225575051661,29,2,B15,9,1,1,2,4,4,2,1
53.4,11.907980517283358,38,62,1.4,0.5477225575051661,29,1,A11,3,1,1,2,5,3,2,1
40.0,5.7008771254956905,33,48,1.2,0.4472135954999579,29,4,P1,2,1,1,1,5,4,2,1
52.5,12.396235987858034,38,67,1.25,0.5,9,2,B22,2,1,1,2,4,4,1,1
28.0,0.0,28,28,2.0,0.0,24,3,C10,9,2,1,1,1,1,1,1
34.2,16.976454282328802,20,62,1.8,0.4472135954999579,24,3,A11,2,1,1,2,5,3,2,0
44.0,12.675435561221027,33,62,1.5,0.5773502691896257,41,1,A15,3,1,1,2,4,2,2,1
38.0,7.905694150420948,28,48,1.4,0.5477225575051662,29,4,C2,2,1,1,2,5,4,1,1
50.0,0.0,50,50,1.0,0.0,29,3,C35,9,1,1,1,1,1,1,1
38.0,0.0,38,38,1.0,0.0,29,4,P1,3,1,1,1,1,1,1,1
43.8,16.376812876747415,28,67,1.4,0.5477225575051662,29,3,A1,2,1,1,4,5,3,2,1
38.0,0.0,38,38,2.0,0.0,24,1,A32,2,1,1,1,1,1,1,1
43.0,0.0,43,43,2.0,0.0,24,1,A2,3,1,1,1,1,1,1,1
41.8,19.097120201747696,23,72,1.6,0.5477225575051661,29,1,A2,3,1,1,2,5,3,1,0
48.0,0.0,48,48,1.0,0.0,9,3,C55,13,1,1,1,2,2,2,1
48.4,9.710818709048173,38,57,1.4,0.5477225575051662,9,2,A4,4,2,1,3,5,4,2,1
43.0,0.0,43,43,1.0,0.0,21,4,P6,2,1,1,1,1,1,1,1
28.0,0.0,28,28,2.0,0.0,21,3,C1,4,2,1,1,1,1,1,1
50.6,10.406728592598157,43,62,1.0,0.0,29,4,B13,2,1,1,2,5,3,2,1
34.0,6.519202405202649,28,43,1.8,0.4472135954999579,29,4,A1,3,1,1,2,5,3,1,0
57.0,0.0,57,57,1.0,0.0,29,2,B2,3,2,1,1,1,1,1,1
41.75,7.500000000000002,33,48,1.5,0.5773502691896257,29,3,C17,14,1,1,3,3,3,1,1
38.0,0.0,38,38,2.0,0.0,9,1,A10,2,1,1,1,2,2,1,1
60.333333333333336,7.637626158259734,52,67,1.0,0.0,29,2,B10,2,1,1,1,3,2,1,1
59.5,10.606601717798211,52,67,1.0,0.0,29,2,B10,2,1,1,1,2,2,1,1
51.5,19.091883092036785,38,65,1.0,0.0,29,4,P10,2,2,1,1,2,2,1,1
41.8,11.497825881443848,33,62,1.8,0.4472135954999579,29,1,A10,3,1,1,1,4,2,2,0
42.8,10.73312629199899,38,62,1.0,0.0,29,4,P1,3,1,1,2,4,3,2,1
46.6,10.334408546211051,38,62,1.6,0.5477225575051662,29,1,A12,2,1,1,2,5,3,2,1
39.8,14.446452851824908,23,62,1.4,0.5477225575051661,29,4,A17,2,1,1,3,5,3,2,1
62.0,0.0,62,62,1.0,0.0,29,2,B14,2,1,1,1,1,1,1,1
47.6,10.13903348450926,38,62,1.6,0.5477225575051661,29,2,B16,2,1,1,1,5,3,2,1
46.6,15.469324484281788,28,67,1.6,0.5477225575051662,24,2,A13,1,1,1,2,5,5,1,1
38.0,10.0,28,48,1.6666666666666667,0.5773502691896258,24,1,A1,2,1,1,1,3,2,1,1
35.5,3.5355339059327378,33,38,2.0,0.0,9,1,A30,5,1,1,2,2,2,2,1
52.333333333333336,12.662279942148386,38,62,1.3333333333333333,0.5773502691896257,9,1,A10,2,1,1,2,3,3,1,1
38.0,0.0,38,38,2.0,0.0,29,3,C53,14,1,1,1,1,1,1,1
38.0,0.0,38,38,2.0,0.0,29,1,A4,3,2,1,1,1,1,1,1
39.0,7.416198487095663,28,48,1.6,0.5477225575051661,9,3,A10,2,1,1,3,5,3,2,1
50.4,12.03328716519306,38,62,1.4,0.5477225575051662,9,1,A21,1,1,1,2,5,4,2,1
37.0,8.215838362577491,28,48,2.0,0.0,29,1,A1,1,1,1,3,5,5,2,1
39.666666666666664,2.886751345948128,38,43,1.6666666666666667,0.5773502691896258,29,1,A10,3,1,1,2,3,1,1,1
37.0,6.519202405202649,28,43,1.4,0.5477225575051662,29,4,C2,2,1,1,2,5,5,1,1
42.6,17.826945896591486,28,62,1.6,0.5477225575051662,29,1,A11,14,2,1,2,5,4,2,1
41.8,12.537942414925984,28,62,1.8,0.4472135954999579,29,1,A10,3,1,1,1,4,2,1,0
38.0,14.142135623730953,28,48,1.5,0.7071067811865476,29,3,C16,11,1,1,1,2,2,1,1
38.4,7.797435475847171,33,50,1.6,0.5477225575051661,29,1,A15,14,2,1,2,3,3,2,1
28.0,0.0,28,28,2.0,0.0,29,3,C1,4,2,1,1,1,1,1,1
33.0,0.0,33,33,2.0,0.0,29,3,C6,6,1,1,1,1,1,1,1
37.0,6.519202405202649,28,43,1.4,0.5477225575051661,29,4,P11,4,1,1,1,5,3,2,1
43.0,8.660254037844387,33,48,1.3333333333333333,0.5773502691896258,29,3,C5,2,1,1,1,3,3,2,1
58.2,11.497825881443848,38,67,1.2,0.4472135954999579,29,2,A11,3,1,1,2,5,4,2,1
56.0,8.205689083394114,48,67,1.25,0.5,29,2,B10,1,1,1,1,4,4,2,1
35.5,10.606601717798211,28,43,2.0,0.0,29,1,A6,3,1,1,2,2,2,1,1
36.75,2.4999999999999996,33,38,1.5,0.5773502691896257,29,4,C53,2,1,1,2,4,4,2,1
62.0,0.0,62,62,1.0,0.0,29,1,A11,3,1,1,1,1,1,1,1
41.333333333333336,2.886751345948128,38,43,2.0,0.0,29,1,A10,3,1,1,1,3,1,1,1
46.6,15.05988047761336,28,62,1.6,0.5477225575051661,29,1,A21,1,1,1,1,4,2,1,0
54.4,17.052858997833766,38,72,1.0,0.0,29,1,A3,3,1,1,3,4,3,1,1
38.0,7.0710678118654755,28,43,1.75,0.5,29,1,A5,3,1,1,2,4,2,1,1
34.25,11.086778913041726,23,48,1.75,0.5,29,1,A1,3,1,1,2,4,4,2,1
41.5,12.069244660154448,28,57,1.25,0.5,29,3,C2,3,1,1,2,4,3,1,1
41.8,11.606032913963324,28,57,1.4,0.5477225575051662,29,4,C5,4,1,1,2,5,5,2,1
44.333333333333336,10.96965511460289,38,57,1.0,0.0,29,4,B31,3,1,1,2,3,3,2,1
55.5,14.730919862656236,38,72,1.25,0.5,29,1,A11,3,1,1,3,4,3,2,1
40.8,18.48512915832616,28,72,1.8,0.4472135954999579,29,1,A1,3,1,1,1,5,4,2,0
38.0,0.0,38,38,1.0,0.0,29,4,P17,2,2,1,1,1,1,1,1
55.4,13.867227552759058,38,67,1.4,0.5477225575051661,29,2,B10,2,1,1,1,5,1,1,1
40.5,2.886751345948129,38,43,1.5,0.5773502691896257,29,1,A12,2,1,1,2,4,2,2,1
38.0,0.0,38,38,1.0,0.0,29,4,P1,3,1,1,1,1,1,1,1
23.0,0.0,23,23,2.0,0.0,29,3,C14,9,1,1,1,1,1,1,1
40.5,6.454972243679028,33,48,1.25,0.5,29,3,C13,4,1,1,2,4,3,2,1
38.2,18.130085493455347,20,67,1.8,0.4472135954999579,29,3,A2,6,1,1,4,5,4,2,1
54.75,6.075908711186061,48,62,1.25,0.5,29,2,A21,1,1,1,2,4,3,1,1
47.5,20.506096654409877,33,62,1.5,0.7071067811865476,29,1,A16,1,1,1,1,2,2,1,1
23.0,0.0,23,23,2.0,0.0,29,3,C3,6,2,1,1,1,1,1,1
42.0,8.94427190999916,28,48,1.2,0.4472135954999579,29,3,C1,4,2,1,2,5,4,2,0
38.0,0.0,38,38,2.0,0.0,29,2,B32,6,1,1,1,1,1,1,1
47.5,20.506096654409877,33,62,1.5,0.7071067811865476,29,1,A31,6,2,1,2,2,2,1,1
43.0,5.0,38,48,1.0,0.0,29,4,P1,9,2,1,1,3,2,2,1
33.0,0.0,33,33,2.0,0.0,29,3,C6,6,1,1,1,1,1,1,1
34.0,9.617692030835672,23,48,1.8,0.4472135954999579,29,3,C3,6,1,1,2,5,3,2,1
36.333333333333336,10.408329997330664,28,48,1.6666666666666667,0.5773502691896257,29,3,C16,6,1,1,1,3,3,1,1
34.25,7.5,28,43,2.0,0.0,29,1,A28,1,1,1,2,4,4,2,1
52.2,8.228000972289687,38,57,1.2,0.4472135954999579,29,2,B24,6,1,1,1,5,5,1,1
38.0,0.0,38,38,2.0,0.0,29,2,B28,9,1,1,1,1,1,1,1
40.0,10.954451150103322,28,48,1.4,0.5477225575051661,44,3,C1,2,2,1,1,5,5,2,1
53.0,5.656854249492381,43,57,1.0,0.0,34,3,C44,14,1,1,1,4,2,1,0
67.0,0.0,67,67,1.0,0.0,29,2,B10,2,1,1,1,1,1,1,1
42.8,11.300442469213316,33,62,1.8,0.4472135954999579,29,1,A10,3,1,1,1,5,2,2,0
45.8,11.144505372604025,33,62,1.4,0.5477225575051662,29,3,A17,2,1,1,2,5,3,2,1
53.4,10.92245393673052,38,67,1.2,0.4472135954999579,29,2,B2,1,1,1,2,5,5,2,1
38.8,14.342245291445828,28,62,1.8,0.4472135954999579,29,1,A13,1,1,1,1,4,4,2,0
32.0,6.519202405202649,23,38,1.8,0.4472135954999579,29,4,A4,3,1,1,2,5,3,2,0
57.0,0.0,57,57,1.0,0.0,29,2,B2,3,2,1,1,1,1,1,1
67.0,0.0,67,67,1.0,0.0,29,2,B10,2,1,1,1,1,1,1,1
43.0,5.773502691896258,38,48,1.5,0.5773502691896257,29,1,P3,2,1,1,2,3,3,1,1
40.5,3.5355339059327378,38,43,1.5,0.7071067811865476,29,1,A10,3,1,1,2,2,2,1,1
57.0,5.0,52,62,1.0,0.0,29,2,B29,2,1,1,1,3,2,1,1
33.0,0.0,33,33,2.0,0.0,29,1,A15,14,2,1,1,1,1,1,1
45.2,11.627553482998906,28,57,1.4,0.5477225575051662,29,3,B11,14,1,1,2,5,2,2,0
33.0,9.354143466934854,23,43,1.4,0.5477225575051661,29,4,P14,2,1,1,1,5,3,2,1
44.8,16.39207125411551,28,72,1.8,0.4472135954999579,29,1,A1,3,1,1,1,5,2,2,0
45.6,15.91540134586621,28,62,1.6,0.5477225575051661,29,1,A1,3,1,1,1,5,4,1,0
33.0,7.0710678118654755,28,38,1.5,0.7071067811865476,29,4,P4,2,1,1,1,2,2,1,1
36.8,9.859006035092987,28,52,1.8,0.4472135954999579,29,3,A12,2,2,1,2,5,4,2,0
32.0,4.183300132670377,28,38,2.0,0.0,29,3,C24,2,1,1,2,5,4,2,1
53.6,22.501111083677625,28,82,1.6,0.5477225575051662,29,1,A1,3,1,1,1,5,2,1,0
40.5,3.5355339059327378,38,43,2.0,0.0,29,1,A12,2,1,1,1,2,2,1,1
37.4,12.720062892926276,20,48,1.4,0.5477225575051662,29,3,C13,2,1,1,2,5,4,1,1
57.0,0.0,57,57,1.0,0.0,29,3,C56,6,2,1,1,1,1,1,1
50.6,18.392933425639317,28,72,1.6,0.5477225575051661,29,1,A1,3,1,1,2,5,3,1,0
38.0,9.354143466934854,28,48,1.6,0.5477225575051661,29,3,A15,2,1,1,2,5,5,2,1
43.0,11.180339887498947,23,48,1.2,0.4472135954999579,29,3,C17,11,1,1,1,5,3,2,0
37.0,4.183300132670378,33,43,1.8,0.4472135954999579,29,1,A10,3,1,1,3,5,4,1,1
44.0,6.519202405202648,33,48,1.2,0.4472135954999579,29,3,C17,2,1,1,2,5,5,1,0
39.8,10.059821071967432,28,52,1.6,0.5477225575051661,9,2,A15,4,1,1,3,5,5,2,1
46.8,7.049822692805826,38,57,1.2,0.4472135954999579,29,2,B1,4,1,1,3,5,3,2,1
48.0,0.0,48,48,1.0,0.0,29,3,C7,13,1,1,1,1,1,1,1
46.8,20.6082507748717,28,82,1.8,0.4472135954999579,29,1,A1,3,1,1,1,5,2,1,1
43.8,8.555699854482974,38,57,1.8,0.4472135954999579,29,2,B19,2,1,1,1,5,5,1,0
58.25,7.500000000000002,52,67,1.0,0.0,29,2,B10,2,1,1,1,4,3,1,1
39.666666666666664,2.886751345948128,38,43,2.0,0.0,29,2,B11,2,1,1,1,3,2,2,1
28.0,0.0,28,28,2.0,0.0,29,3,C16,13,1,1,1,1,1,1,1
47.5,13.435028842544405,38,57,1.5,0.7071067811865476,29,2,B1,4,1,1,1,2,2,1,1
49.6,11.058933040759404,38,67,1.6,0.5477225575051661,29,2,B10,2,1,1,1,5,3,1,1
43.0,6.123724356957946,33,48,1.2,0.4472135954999579,29,3,C11,2,1,1,2,5,5,1,0
38.0,0.0,38,38,2.0,0.0,29,1,A4,3,2,1,1,1,1,1,1
62.0,0.0,62,62,1.0,0.0,29,1,A17,2,1,1,1,1,1,1,1
38.8,13.899640283115245,28,62,1.8,0.4472135954999579,29,1,A1,3,1,1,1,5,4,2,0
45.6,10.406728592598157,38,57,1.6,0.5477225575051661,29,2,A4,6,1,1,2,5,4,2,0
39.0,6.519202405202649,33,48,1.4,0.5477225575051662,29,3,A15,3,1,1,3,5,5,2,0
44.6,16.272676485446393,28,62,1.4,0.5477225575051661,29,1,A21,1,1,1,2,4,3,2,1
50.4,2.190890230020664,48,52,1.4,0.5477225575051661,29,2,B4,10,1,1,1,4,4,2,1
43.6,10.310189135025604,33,57,1.6,0.5477225575051661,29,2,B32,6,1,1,2,4,4,2,1
47.2,13.103434664239751,33,62,1.6,0.5477225575051661,29,1,A14,3,1,1,1,5,4,2,1
46.6,14.205632685663812,33,62,1.6,0.5477225575051661,29,1,A11,2,1,1,1,5,4,2,1
36.8,15.64288975860918,18,57,1.6,0.5477225575051662,29,3,C21,6,1,1,1,5,5,2,0
40.5,3.5355339059327378,38,43,1.0,0.0,29,4,P1,2,1,1,1,2,2,1,1
50.4,8.64869932417586,38,62,1.0,0.0,29,2,A11,3,1,1,4,5,4,1,0
40.5,10.606601717798211,33,48,1.5,0.7071067811865476,29,3,C11,4,1,1,1,2,2,1,1
44.6,16.272676485446393,28,62,1.6,0.5477225575051662,29,1,A1,2,1,1,1,5,5,2,1
33.0,0.0,33,33,2.0,0.0,44,3,C11,7,1,1,1,1,1,1,1
28.0,0.0,28,28,2.0,0.0,44,3,C1,4,2,1,1,1,1,1,1
34.0,8.215838362577493,28,48,1.8,0.4472135954999579,29,3,C25,2,1,1,1,5,4,2,1
44.0,10.677078252031311,33,57,1.75,0.5,29,2,B12,2,1,1,2,4,3,1,1
52.0,0.0,52,52,1.0,0.0,29,2,B4,10,1,1,1,1,1,1,1
38.0,7.0710678118654755,33,43,2.0,0.0,29,1,A5,3,1,1,2,2,2,1,1
48.8,12.96919426949878,43,72,1.8,0.4472135954999579,29,1,A2,3,1,1,1,5,1,1,0
55.0,6.708203932499369,52,67,1.0,0.0,29,2,B16,12,1,1,1,4,4,2,0
47.4,14.926486525636232,28,67,1.4,0.5477225575051662,29,2,B10,14,1,1,2,5,4,2,1
49.4,15.91540134586621,28,67,1.2,0.4472135954999579,29,2,B10,9,1,1,2,5,4,2,1
34.0,4.183300132670378,28,38,2.0,0.0,29,1,A13,1,1,1,2,5,3,1,1
46.4,4.77493455452533,38,50,1.0,0.0,29,3,C33,2,1,1,2,5,5,2,1
34.666666666666664,12.583057392117915,23,48,1.6666666666666667,0.5773502691896258,29,3,A16,1,1,1,2,3,3,2,1
45.6,13.164345787011218,23,57,1.6,0.5477225575051662,29,2,B9,1,1,1,2,4,3,1,0
52.5,13.435028842544405,43,62,1.5,0.7071067811865476,29,1,A11,3,1,1,1,2,1,1,1
47.75,15.924300089276556,28,67,1.25,0.5,29,4,B10,6,1,1,3,4,3,2,1
44.6,9.20869154657707,38,57,1.6,0.5477225575051661,29,2,B1,4,1,1,1,5,5,1,0
46.0,7.211102550927978,38,52,1.6666666666666667,0.5773502691896258,29,2,B16,1,1,1,2,3,3,1,1
38.0,0.0,38,38,2.0,0.0,29,1,A12,2,1,1,1,1,1,1,1
53.2,10.473776778220929,38,67,1.2,0.4472135954999579,29,2,B1,2,1,1,1,5,3,1,1
28.0,0.0,28,28,2.0,0.0,29,4,P60,14,1,1,1,1,1,1,1
51.6,20.839865642561133,28,82,1.6,0.5477225575051662,29,1,A1,3,1,1,1,5,2,1,0
44.25,4.7871355387816905,38,48,1.25,0.5,29,3,B17,11,1,1,2,4,3,2,1
57.0,0.0,57,57,1.0,0.0,29,2,B2,3,2,1,1,1,1,1,1
38.0,11.726039399558577,23,48,1.4,0.5477225575051661,29,3,C1,4,1,1,1,5,4,2,0
39.8,11.233877335986897,23,52,1.6,0.5477225575051661,29,2,A4,9,1,1,3,5,4,2,1
36.333333333333336,7.6376261582597325,28,43,1.3333333333333333,0.5773502691896257,29,4,P23,2,2,1,1,3,3,2,1
52.6,19.178112524437857,38,82,1.6,0.5477225575051662,28,1,A10,3,1,1,1,5,2,1,0
62.0,7.0710678118654755,57,67,1.0,0.0,29,2,B21,11,1,1,1,2,2,1,1
62.0,0.0,62,62,1.0,0.0,29,2,B13,12,2,1,1,1,1,1,1
56.6,18.95521036549054,43,82,1.6,0.5477225575051661,9,1,A2,3,1,1,1,5,1,1,0
55.4,20.6106768447812,28,82,1.4,0.5477225575051661,29,1,A1,3,1,1,1,5,2,1,0
33.0,7.0710678118654755,28,38,2.0,0.0,29,2,B32,6,1,1,2,2,2,1,1
54.5,3.5355339059327378,52,57,1.0,0.0,29,3,C56,5,2,1,1,2,2,1,1
54.6,25.58906016249913,28,82,1.6,0.5477225575051661,24,1,A9,3,1,1,1,4,3,1,1
52.333333333333336,14.502873278538065,38,67,1.3333333333333333,0.5773502691896258,24,2,B10,2,1,1,1,3,3,1,1
43.0,0.0,43,43,2.0,0.0,9,1,A7,3,1,1,1,1,1,1,1
35.5,3.5355339059327378,33,38,1.5,0.7071067811865476,29,4,P1,3,1,1,1,2,2,1,1
57.2,11.840608092492548,38,67,1.2,0.4472135954999579,29,2,B10,2,1,1,1,5,5,1,0
42.8,12.357184145265457,28,62,1.6,0.5477225575051662,29,1,A13,4,1,1,2,5,3,2,0
55.0,9.899494936611664,48,62,1.0,0.0,29,1,A11,3,1,1,2,2,2,1,1
38.0,7.0710678118654755,28,48,1.2,0.4472135954999579,29,4,P1,3,1,1,1,5,3,2,0
33.0,0.0,33,33,2.0,0.0,29,4,P12,4,1,1,1,1,1,1,1
39.0,4.183300132670378,33,43,1.6,0.5477225575051661,29,4,B11,2,1,1,2,5,4,2,1
50.6,7.127411872482184,43,62,1.0,0.0,29,3,B13,14,1,1,2,5,4,2,0
35.5,10.408329997330664,23,48,1.5,0.5773502691896257,29,4,C8,2,1,1,2,4,3,2,1
43.0,0.0,43,43,2.0,0.0,29,2,B11,2,1,1,1,1,1,1,1
42.8,6.723094525588646,33,52,1.4,0.5477225575051661,29,1,P6,2,1,1,3,4,4,2,1
52.6,19.81918262693999,33,82,1.4,0.5477225575051661,29,1,A15,2,2,1,2,5,3,2,1
43.0,0.0,43,43,2.0,0.0,9,1,A6,3,1,1,1,1,1,1,1
50.4,11.502173707608488,38,62,1.4,0.5477225575051662,29,2,B1,6,1,1,1,5,4,2,0
